Title,Link,Publisher,Journal,Author Order,Authors,Year,DOI,Quartile
Evaluasi Kinerja Simpang Tiga Tak Bersinyal Jl. Muharto-Jl. Mayjen Sungkono–Jl. Raya Ki Ageng Gribig Kota Malang,https://scholar.google.com/scholar?q=+intitle:%27Evaluasi%20Kinerja%20Simpang%20Tiga%20Tak%20Bersinyal%20Jl.%20Muharto-Jl.%20Mayjen%20Sungkono%E2%80%93Jl.%20Raya%20Ki%20Ageng%20Gribig%20Kota%20Malang%27,"Siklus: Jurnal Teknik Sipil 8 (1), 70-85, 2022","Siklus: Jurnal Teknik Sipil 8 (1), 70-85, 2022",N/A,"Authors : A Suraji, M Cakrawala",2022,N/A,N/A
Analysis of Runway Flexible Pavement Design for Boeing 737-800 Aircraft using FAA Method,https://scholar.google.com/scholar?q=+intitle:%27Analysis%20of%20Runway%20Flexible%20Pavement%20Design%20for%20Boeing%20737-800%20Aircraft%20using%20FAA%20Method%27,"INCAVET: International Seminar Proceeding 1 (1), P53-62, 2022","INCAVET: International Seminar Proceeding 1 (1), P53-62, 2022",N/A,"Authors : S Aji, C Aditya, M Cakrawala",2022,N/A,N/A
PENGARUH SIKA DAN ABU VULKANIK GUNUNG SEMERU SEBAGAI PENGGANTI SEBAGIAN SEMEN TERHADAP KUAT TEKAN BETON,https://scholar.google.com/scholar?q=+intitle:%27PENGARUH%20SIKA%20DAN%20ABU%20VULKANIK%20GUNUNG%20SEMERU%20SEBAGAI%20PENGGANTI%20SEBAGIAN%20SEMEN%20TERHADAP%20KUAT%20TEKAN%20BETON%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : MD Mboru, A Halim, C Aditya, A Suraji",2022,N/A,N/A
INOVASI TEKNOLOGI DALAM MENDUKUNG KEMANDIRIAN BANGSA: Pola Permukiman Penduduk dan Kebisingan Lalu Lintas Jalan Raya,https://scholar.google.com/scholar?q=+intitle:%27INOVASI%20TEKNOLOGI%20DALAM%20MENDUKUNG%20KEMANDIRIAN%20BANGSA:%20Pola%20Permukiman%20Penduduk%20dan%20Kebisingan%20Lalu%20Lintas%20Jalan%20Raya%27,,,N/A,"Authors : N Tjahjono, A Suraji",2022,N/A,N/A
Smart Route Choice Based on Google Maps Application in Urban Road Network,https://scholar.google.com/scholar?q=+intitle:%27Smart%20Route%20Choice%20Based%20on%20Google%20Maps%20Application%20in%20Urban%20Road%20Network%27,"2022 1st International Conference on Technology Innovation and Its …, 2022","2022 1st International Conference on Technology Innovation and Its …, 2022",N/A,"Authors : A Suraji, G Subiyakto, D Irawan, F Marisa, N Tjahjono, MW Nugroho",2022,N/A,N/A
Percepatan Waktu dan Biaya Bangunan Gedung dengan Menggunakan Metode Time Cost Trade Off (TCTO),https://scholar.google.com/scholar?q=+intitle:%27Percepatan%20Waktu%20dan%20Biaya%20Bangunan%20Gedung%20dengan%20Menggunakan%20Metode%20Time%20Cost%20Trade%20Off%20(TCTO)%27,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 2 (2), 21-29, 2022","BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 2 (2), 21-29, 2022",N/A,"Authors : S Mardiana, D Irawan, M Cakrawala, A Suraji",2022,N/A,N/A
PENGARUH AGREGAT HALUS PASIR HITAM DAN COKLAT DENGAN ZAT DAMDEX TERHADAP KUAT TEKAN BETON DAN MODULUS,https://scholar.google.com/scholar?q=+intitle:%27PENGARUH%20AGREGAT%20HALUS%20PASIR%20HITAM%20DAN%20COKLAT%20DENGAN%20ZAT%20DAMDEX%20TERHADAP%20KUAT%20TEKAN%20BETON%20DAN%20MODULUS%27,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022","Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",N/A,"Authors : J Tunabenani, A Halim, A Suraji",2022,N/A,N/A
Correlation of Expansive Soil and Road Pavement Conditions Using Data Mining from GIS Portal,https://scholar.google.com/scholar?q=+intitle:%27Correlation%20of%20Expansive%20Soil%20and%20Road%20Pavement%20Conditions%20Using%20Data%20Mining%20from%20GIS%20Portal%27,"2022 IEEE International Conference on Cybernetics and Computational …, 2022","2022 IEEE International Conference on Cybernetics and Computational …, 2022",N/A,"Authors : A Suraji, F Marisa, C Aditya, F Rofii, AT Sudjianto, R Riman",2022,N/A,N/A
Percepatan Waktu dan Biaya Bangunan Gedung dengan Menggunakan Metode Time Cost Trade Off (TCTO),https://scholar.google.com/scholar?q=+intitle:%27Percepatan%20Waktu%20dan%20Biaya%20Bangunan%20Gedung%20dengan%20Menggunakan%20Metode%20Time%20Cost%20Trade%20Off%20(TCTO)%27,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 2 (2), 21-29, 2022","BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 2 (2), 21-29, 2022",N/A,"Authors : S Mardiana, D Irawan, M Cakrawala, A Suraji",2022,N/A,N/A
Analisis Perbedaan Struktur Perkerasan Jalan Menggunakan Beban Sumbu Standar dan Beban Sumbu Riil,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Perbedaan%20Struktur%20Perkerasan%20Jalan%20Menggunakan%20Beban%20Sumbu%20Standar%20dan%20Beban%20Sumbu%20Riil%27,"Bowplank Jurnal Ilmiah Teknik Sipil dan Lingkungan 1 (1), 1-14, 2021","Bowplank Jurnal Ilmiah Teknik Sipil dan Lingkungan 1 (1), 1-14, 2021",N/A,"Authors : AA Rahman, A Suraji, M Cakrawala",2021,N/A,N/A
