Title,Link,Quartile,Journal,Year,Cited Count,Author Order,Authors,Scopus Indexed,DOI
STUDI PENGGUNAAN SOFTWARE AUTODESK REVIT DALAM ANALISIS QUANTITY TAKE-OFF GEDUNG 2 LANTAI,https://garuda.kemdikbud.go.id/documents/detail/3711203,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 2 (2023)187-194",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 2 (2023)187-194",N/A,N/A
KAJIAN DISTRIBUSI LOGISTIK PANGAN DALAM MENDUKUNG KETAHANAN PANGAN,https://garuda.kemdikbud.go.id/documents/detail/3338745,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 1 (2023)9-18",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 1 (2023)9-18",N/A,N/A
Analisis Kinerja Parkir di Tepi Jalan Umum Wilayah Kota Malang,https://garuda.kemdikbud.go.id/documents/detail/3380630,Accred : Sinta 3,"TERAS JURNAL Vol 13, No 1 (2023): Volume 13 No 1, Maret 2023139-150",2023,DOI: 10.29103/tj.v13i1.825,Author Order : 2 of 3,"TERAS JURNAL Vol 13, No 1 (2023): Volume 13 No 1, Maret 2023139-150",N/A,N/A
Peningkatan Layanan Infrastruktur Jalan Di Kawasan Wisata Bedengan,https://garuda.kemdikbud.go.id/documents/detail/3522965,Accred : Sinta 5,"ABDIMASKU : JURNAL PENGABDIAN MASYARAKAT Vol 6, No 2 (2023): Mei 2023424-431",2023,DOI: 10.33633/ja.v6i2.1079,Author Order : 2 of 3,"ABDIMASKU : JURNAL PENGABDIAN MASYARAKAT Vol 6, No 2 (2023): Mei 2023424-431",N/A,N/A
STUDI PERENCANAAN PONDASI SUMURAN PADA PROYEK PENGEMBANGAN GEDUNG KAMPUS INSTITUT TEKNOLOGI DAN BISNIS WIDYAGAMA LUMAJANG,https://garuda.kemdikbud.go.id/documents/detail/3711197,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 2 (2023)129-134",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 2 (2023)129-134",N/A,N/A
ANALISIS PERHITUNGAN STRUKTUR BANGUNAN 3 LANTAI MENGGUNAKAN APLIKASI SANSPRO,https://garuda.kemdikbud.go.id/documents/detail/3711199,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 2 (2023)149-158",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 2 (2023)149-158",N/A,N/A
ANALISIS KENYAMANAN PEJALAN KAKI TERHADAP JALUR PEDESTRIAN DI JALAN VETERAN BOJONEGORO,https://garuda.kemdikbud.go.id/documents/detail/3711204,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 2 (2023)195-202",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 2 (2023)195-202",N/A,N/A
The Role of Additional Ceramic Waste on Expansive Clay Stability,https://garuda.kemdikbud.go.id/documents/detail/2610096,Accred : Sinta 4,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 5, No 1 (2022): JSAE54-61",2022,DOI: 10.31328/jsae.v5i1.3580,Author Order : 2 of 3,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 5, No 1 (2022): JSAE54-61",N/A,N/A
Evaluasi Kinerja Simpang Tiga Tak Bersinyal Jl. Muharto - Jl. Mayjen Sungkono â Jl. Raya Ki Ageng Gribig Kota Malang,https://garuda.kemdikbud.go.id/documents/detail/2631276,Accred : Sinta 3,Siklus : Jurnal Teknik Sipil Vol. 8 No. 1 (2022)70-85,2022,DOI: 10.31849/siklus.v8i1.9339,Author Order : 2 of 3,Siklus : Jurnal Teknik Sipil Vol. 8 No. 1 (2022)70-85,N/A,N/A
PENGARUH AGREGAT HALUS PASIR HITAM DAN COKLAT DENGAN ZAT DAMDEX TERHADAP KUAT TEKAN BETON DAN MODULUS,https://garuda.kemdikbud.go.id/documents/detail/3219658,Accred : Unknown,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030391-400,2022,DOI: -,Author Order : 2 of 3,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030391-400,N/A,N/A
TEKNOLOGI TEPAT GUNA UNTUK PENINGKATAN PRODUKTIFITAS PEMBUATAN ALAT PERAGA EDUKATIF,https://garuda.kemdikbud.go.id/documents/detail/3219818,Accred : Unknown,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030733-740,2022,DOI: -,Author Order : 1 of 6,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030733-740,N/A,N/A
ANALISIS PENGARUH ON-STREET PARKING TERHADAP KINERJA LALU LINTAS DI PASAR BLIMBING KOTA MALANG,https://garuda.kemdikbud.go.id/documents/detail/3219854,Accred : Unknown,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030411-420,2022,DOI: -,Author Order : 1 of 6,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030411-420,N/A,N/A
PENGARUH SIKA DAN ABU VULKANIK GUNUNG SEMERU SEBAGAI PENGGANTI SEBAGIAN SEMEN TERHADAP KUAT TEKAN BETON,https://garuda.kemdikbud.go.id/documents/detail/3219889,Accred : Unknown,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030401-410,2022,DOI: -,Author Order : 1 of 6,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030401-410,N/A,N/A
Analysis of Volume Fraction and Fiber Orientation on Tensile Strength and Impact Strength of Cannabis Sativa-Polyester Fiber Composites,https://garuda.kemdikbud.go.id/documents/detail/3272064,Accred : Unknown,Asian Journal Science and Engineering Vol 1 No 1 (2022): Asian Journal Science and Engineering12-22,2022,DOI: 10.51278/ajse.v1i1.395,Author Order : 1 of 6,Asian Journal Science and Engineering Vol 1 No 1 (2022): Asian Journal Science and Engineering12-22,N/A,N/A
